plot,trait_collection,slope,aspect,soil_1,soil_2,canopy_1,canopy_2,finish,cutoff
OTC-1,22-Jun,2,65,81,10.9,41,32,12-Jul,2023-07-21 10:00
OTC-2,22-Jun,3,20,7.4,12.3,42,72,12-Jul,2023-07-21 10:00
OTC-3,22-Jun,4,12,6.5,5.6,58,40,21-Jul,2023-07-21 10:00
OTC-4,22-Jun,10,20,4.7,5.9,52,40,12-Jul,2023-07-21 10:00
OTC-5,22-Jun,2,20,1.6,6.6,13,84,01-Aug,2023-08-01 9:00
OTC-6,22-Jun,6,210,6.2,7,57,54,21-Jul,2023-07-21 10:00
OTC-7,22-Jun,8,110,5.2,4.1,53,66,01-Aug,2023-08-01 9:00
CON-1,22-Jun,12,116,3.9,6.2,31,42,12-Jul,2023-07-21 10:00
CON-2,22-Jun,1,349,11.6,7.4,25,35,21-Jul,2023-07-21 10:00
CON-3,22-Jun,4,172,5.1,5.4,33,51,12-Jul,2023-07-21 10:00
CON-4,22-Jun,3,180,14.2,10.6,56,30,12-Jul,2023-07-21 10:00
CON-5,22-Jun,5,238,5.3,4.2,61,31,12-Jul,2023-07-21 10:00
CON-6,22-Jun,2,120,8.5,10.6,53,45,21-Jul,2023-07-21 10:00
CON-7,22-Jun,3,21,3.9,3.6,56,39,21-Jul,2023-07-21 10:00
